"ntree" "mtry" "region" "year" "accuracy"
"800" "40" "1" "1994" "0.9285"
"100" "5" "1" "1995" "0.9364"
"200" "5" "1" "1995" "0.9382"
"400" "5" "1" "1995" "0.9362"
"800" "5" "1" "1995" "0.9418"
"100" "10" "1" "1995" "0.9283"
"200" "10" "1" "1995" "0.9423"
"400" "10" "1" "1995" "0.9396"
"800" "10" "1" "1995" "0.9436"
"100" "20" "1" "1995" "0.9418"
"200" "20" "1" "1995" "0.9495"
"400" "20" "1" "1995" "0.9443"
"800" "20" "1" "1995" "0.9369"
"100" "40" "1" "1995" "0.948"
"200" "40" "1" "1995" "0.9399"
"400" "40" "1" "1995" "0.9476"
"800" "40" "1" "1995" "0.9507"
"100" "5" "1" "1996" "0.9257"
"200" "5" "1" "1996" "0.9224"
"400" "5" "1" "1996" "0.9209"
"800" "5" "1" "1996" "0.9289"
"100" "10" "1" "1996" "0.9265"
"200" "10" "1" "1996" "0.939"
"400" "10" "1" "1996" "0.9238"
"800" "10" "1" "1996" "0.931"
"100" "20" "1" "1996" "0.9262"
"200" "20" "1" "1996" "0.9369"
"400" "20" "1" "1996" "0.9357"
"800" "20" "1" "1996" "0.9402"
"100" "40" "1" "1996" "0.9315"
"200" "40" "1" "1996" "0.9355"
"400" "40" "1" "1996" "0.9315"
"800" "40" "1" "1996" "0.9399"
"100" "5" "1" "1997" "0.9198"
"200" "5" "1" "1997" "0.9183"
"400" "5" "1" "1997" "0.9187"
"800" "5" "1" "1997" "0.927"
"100" "10" "1" "1997" "0.9241"
"200" "10" "1" "1997" "0.9152"
"400" "10" "1" "1997" "0.9269"
"800" "10" "1" "1997" "0.9108"
"100" "20" "1" "1997" "0.9297"
"200" "20" "1" "1997" "0.932"
"400" "20" "1" "1997" "0.93"
"800" "20" "1" "1997" "0.9298"
"100" "40" "1" "1997" "0.9364"
"200" "40" "1" "1997" "0.9334"
"400" "40" "1" "1997" "0.9331"
"800" "40" "1" "1997" "0.9284"
"100" "5" "1" "1998" "0.913"
"200" "5" "1" "1998" "0.9181"
"400" "5" "1" "1998" "0.9286"
"800" "5" "1" "1998" "0.9249"
"100" "10" "1" "1998" "0.9315"
"200" "10" "1" "1998" "0.931"
"400" "10" "1" "1998" "0.9293"
"800" "10" "1" "1998" "0.9214"
"100" "20" "1" "1998" "0.9204"
"200" "20" "1" "1998" "0.9261"
"400" "20" "1" "1998" "0.9296"
"800" "20" "1" "1998" "0.9297"
"100" "40" "1" "1998" "0.9269"
"200" "40" "1" "1998" "0.9326"
"400" "40" "1" "1998" "0.9254"
"800" "40" "1" "1998" "0.9336"
"100" "5" "1" "1999" "0.9311"
"200" "5" "1" "1999" "0.9207"
