system:index,area,class_id,territory,year,.geo
0_0_0,1924302.2296902172,1,0,trajectories,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,46644.719192463715,2,0,trajectories,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,772.4915894215746,3,0,trajectories,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,5751.045500478508,4,0,trajectories,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,761.0964566829465,5,0,trajectories,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,1599.2824337830666,6,0,trajectories,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,2201.1286907940666,7,0,trajectories,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_7,2360.3690628761,8,0,trajectories,"{""type"":""MultiPoint"",""coordinates"":[]}"
