system:index,area,class_id,file,territory,year,.geo
0_5_1,3176014.875221948,4,CERRADO_col7_gapfill_v1,6.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_2,87682.28695574259,11,CERRADO_col7_gapfill_v1,6.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_3,289907.4582032256,12,CERRADO_col7_gapfill_v1,6.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_4,1223301.0947721547,15,CERRADO_col7_gapfill_v1,6.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_5,57106.71201708188,21,CERRADO_col7_gapfill_v1,6.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_6,117008.90235900422,25,CERRADO_col7_gapfill_v1,6.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_7,54951.18334290771,33,CERRADO_col7_gapfill_v1,6.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_0,718780.8802244565,3,CERRADO_col7_gapfill_v1,7.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_1,6246154.797913701,4,CERRADO_col7_gapfill_v1,7.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_2,94293.77315948528,11,CERRADO_col7_gapfill_v1,7.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_3,779666.6141493209,12,CERRADO_col7_gapfill_v1,7.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_4,31192.297953301953,15,CERRADO_col7_gapfill_v1,7.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_5,168232.05839337024,21,CERRADO_col7_gapfill_v1,7.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_6,55770.591371472,25,CERRADO_col7_gapfill_v1,7.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_7,2903.668961401364,33,CERRADO_col7_gapfill_v1,7.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_0,1010096.2984429068,3,CERRADO_col7_gapfill_v1,8.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_1,3429855.3804742796,4,CERRADO_col7_gapfill_v1,8.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_2,306084.72742757644,11,CERRADO_col7_gapfill_v1,8.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_3,1981248.4219801936,12,CERRADO_col7_gapfill_v1,8.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_4,101511.8484780044,15,CERRADO_col7_gapfill_v1,8.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_5,54962.69160054103,19,CERRADO_col7_gapfill_v1,8.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_6,126489.9456086246,21,CERRADO_col7_gapfill_v1,8.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_7,46192.426242979745,25,CERRADO_col7_gapfill_v1,8.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_8,7759.806422644049,33,CERRADO_col7_gapfill_v1,8.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_0,3061707.5529876594,3,CERRADO_col7_gapfill_v1,9.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_1,3593961.4683242,4,CERRADO_col7_gapfill_v1,9.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_2,3987900.220319534,11,CERRADO_col7_gapfill_v1,9.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_3,417083.1844853702,12,CERRADO_col7_gapfill_v1,9.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_4,1121461.5816017499,15,CERRADO_col7_gapfill_v1,9.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_5,21961.143031877946,19,CERRADO_col7_gapfill_v1,9.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_6,235907.83807448414,21,CERRADO_col7_gapfill_v1,9.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_7,76196.22437251019,25,CERRADO_col7_gapfill_v1,9.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_8,137546.24987948107,33,CERRADO_col7_gapfill_v1,9.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_0,2390549.0329474043,3,CERRADO_col7_gapfill_v1,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_1,5250207.523105098,4,CERRADO_col7_gapfill_v1,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_2,174494.25822786876,11,CERRADO_col7_gapfill_v1,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_3,556022.1348417208,12,CERRADO_col7_gapfill_v1,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_4,4531749.083934574,15,CERRADO_col7_gapfill_v1,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_5,28734.55997324833,19,CERRADO_col7_gapfill_v1,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_6,538566.3681338115,21,CERRADO_col7_gapfill_v1,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_7,132996.09252267441,25,CERRADO_col7_gapfill_v1,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_8,34047.688479145196,33,CERRADO_col7_gapfill_v1,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_0,316394.46382568957,3,CERRADO_col7_gapfill_v1,11.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_1,2094623.0148207743,4,CERRADO_col7_gapfill_v1,11.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_2,74370.41993761586,11,CERRADO_col7_gapfill_v1,11.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_3,1072118.6386135952,12,CERRADO_col7_gapfill_v1,11.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_4,822310.1353223064,15,CERRADO_col7_gapfill_v1,11.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_5,418468.97683908086,19,CERRADO_col7_gapfill_v1,11.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_6,192437.37155746372,21,CERRADO_col7_gapfill_v1,11.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_7,82098.98757484525,25,CERRADO_col7_gapfill_v1,11.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_8,3993.8996298889156,33,CERRADO_col7_gapfill_v1,11.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_0,897154.0710772766,3,CERRADO_col7_gapfill_v1,12.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_1,4511676.893673221,4,CERRADO_col7_gapfill_v1,12.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_2,118298.99753258642,11,CERRADO_col7_gapfill_v1,12.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_3,179134.05543070636,12,CERRADO_col7_gapfill_v1,12.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_4,896211.5967292389,15,CERRADO_col7_gapfill_v1,12.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_5,1.316101904296875,19,CERRADO_col7_gapfill_v1,12.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_6,99133.71462734415,21,CERRADO_col7_gapfill_v1,12.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_7,94528.69361056542,25,CERRADO_col7_gapfill_v1,12.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_8,35816.82183415528,33,CERRADO_col7_gapfill_v1,12.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_0,171717.25538026192,3,CERRADO_col7_gapfill_v1,13.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_1,3989085.6863896186,4,CERRADO_col7_gapfill_v1,13.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_2,56483.19985281957,11,CERRADO_col7_gapfill_v1,13.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_3,631690.2722491096,12,CERRADO_col7_gapfill_v1,13.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_4,217800.87988686378,15,CERRADO_col7_gapfill_v1,13.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_5,8538.961909899834,19,CERRADO_col7_gapfill_v1,13.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_6,178080.5148281086,21,CERRADO_col7_gapfill_v1,13.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_7,72708.15567386421,25,CERRADO_col7_gapfill_v1,13.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_8,3973.3715153015487,33,CERRADO_col7_gapfill_v1,13.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_0,490673.441626833,3,CERRADO_col7_gapfill_v1,14.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_1,6561885.794118803,4,CERRADO_col7_gapfill_v1,14.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_2,239640.37893785382,11,CERRADO_col7_gapfill_v1,14.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_3,2265374.5130990227,12,CERRADO_col7_gapfill_v1,14.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_4,981095.693164992,15,CERRADO_col7_gapfill_v1,14.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_5,251737.95956562887,19,CERRADO_col7_gapfill_v1,14.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_6,196062.5155787375,21,CERRADO_col7_gapfill_v1,14.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_7,91393.92213168315,25,CERRADO_col7_gapfill_v1,14.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_8,18529.52036775495,33,CERRADO_col7_gapfill_v1,14.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_0,990733.4987419085,3,CERRADO_col7_gapfill_v1,15.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_1,1829167.0024008574,4,CERRADO_col7_gapfill_v1,15.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_2,71881.718601111,11,CERRADO_col7_gapfill_v1,15.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_3,341594.2798618075,12,CERRADO_col7_gapfill_v1,15.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_4,2014078.3478631205,15,CERRADO_col7_gapfill_v1,15.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_5,23469.096087286347,19,CERRADO_col7_gapfill_v1,15.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_6,400819.68438550713,21,CERRADO_col7_gapfill_v1,15.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_7,194336.0496590502,25,CERRADO_col7_gapfill_v1,15.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_8,10914.285117834454,33,CERRADO_col7_gapfill_v1,15.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_0,1012656.9422970084,3,CERRADO_col7_gapfill_v1,16.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_1,2656864.322991815,4,CERRADO_col7_gapfill_v1,16.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_2,77658.95539119864,11,CERRADO_col7_gapfill_v1,16.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_3,279754.69824222836,12,CERRADO_col7_gapfill_v1,16.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_4,555043.8866294349,15,CERRADO_col7_gapfill_v1,16.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_5,29670.48309296279,19,CERRADO_col7_gapfill_v1,16.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_6,515604.77421549964,21,CERRADO_col7_gapfill_v1,16.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_7,54770.2096366822,25,CERRADO_col7_gapfill_v1,16.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_8,5887.846396655271,33,CERRADO_col7_gapfill_v1,16.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_0,1596415.5684895958,3,CERRADO_col7_gapfill_v1,17.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_1,3085472.1802811455,4,CERRADO_col7_gapfill_v1,17.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_2,211230.8188943366,11,CERRADO_col7_gapfill_v1,17.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_3,209033.74073199587,12,CERRADO_col7_gapfill_v1,17.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_4,672381.0823359222,15,CERRADO_col7_gapfill_v1,17.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_5,102949.33282184898,19,CERRADO_col7_gapfill_v1,17.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_6,169854.05133657338,21,CERRADO_col7_gapfill_v1,17.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_7,88847.27462381103,25,CERRADO_col7_gapfill_v1,17.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_8,21188.88610462023,33,CERRADO_col7_gapfill_v1,17.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_0,7131571.63892576,3,CERRADO_col7_gapfill_v1,18.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_1,3853792.860267323,4,CERRADO_col7_gapfill_v1,18.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_2,221669.8957744729,11,CERRADO_col7_gapfill_v1,18.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_3,1343924.270608848,12,CERRADO_col7_gapfill_v1,18.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_4,536879.4673122439,15,CERRADO_col7_gapfill_v1,18.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_5,1258235.5058396128,19,CERRADO_col7_gapfill_v1,18.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_6,4359.872158660921,21,CERRADO_col7_gapfill_v1,18.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_7,110942.83208992868,25,CERRADO_col7_gapfill_v1,18.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_8,19905.450295434573,33,CERRADO_col7_gapfill_v1,18.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18_0,737729.6928913124,3,CERRADO_col7_gapfill_v1,19.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18_1,2027828.5340461622,4,CERRADO_col7_gapfill_v1,19.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18_2,142881.54435546664,11,CERRADO_col7_gapfill_v1,19.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18_3,240347.55083792337,12,CERRADO_col7_gapfill_v1,19.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18_4,1112451.993963027,15,CERRADO_col7_gapfill_v1,19.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18_5,371763.8318616041,19,CERRADO_col7_gapfill_v1,19.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18_6,419621.24764579715,21,CERRADO_col7_gapfill_v1,19.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18_7,73940.40239875468,25,CERRADO_col7_gapfill_v1,19.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18_8,12706.04005020751,33,CERRADO_col7_gapfill_v1,19.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_19_0,431173.69726145006,3,CERRADO_col7_gapfill_v1,20.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_19_1,3033325.932665726,4,CERRADO_col7_gapfill_v1,20.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_19_2,173856.37592903458,11,CERRADO_col7_gapfill_v1,20.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_19_3,244514.05010834365,12,CERRADO_col7_gapfill_v1,20.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_19_4,1152943.7818723314,15,CERRADO_col7_gapfill_v1,20.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_19_5,388365.0816092832,19,CERRADO_col7_gapfill_v1,20.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_19_6,249857.26934701673,21,CERRADO_col7_gapfill_v1,20.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_19_7,51917.622512969974,25,CERRADO_col7_gapfill_v1,20.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_19_8,7144.103758300782,33,CERRADO_col7_gapfill_v1,20.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20_0,1023603.8280517692,3,CERRADO_col7_gapfill_v1,21.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20_1,545468.2025249839,4,CERRADO_col7_gapfill_v1,21.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20_2,407009.81305962347,11,CERRADO_col7_gapfill_v1,21.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20_3,151551.8782619863,12,CERRADO_col7_gapfill_v1,21.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20_4,3925391.1632536813,15,CERRADO_col7_gapfill_v1,21.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20_5,1512955.5104740493,19,CERRADO_col7_gapfill_v1,21.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20_6,681814.5692378535,21,CERRADO_col7_gapfill_v1,21.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20_7,157388.06583712195,25,CERRADO_col7_gapfill_v1,21.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20_8,81336.47750720706,33,CERRADO_col7_gapfill_v1,21.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21_0,707166.741877992,3,CERRADO_col7_gapfill_v1,22.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21_1,858810.5012920575,4,CERRADO_col7_gapfill_v1,22.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21_2,93597.89283005227,11,CERRADO_col7_gapfill_v1,22.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21_3,72635.90557082611,12,CERRADO_col7_gapfill_v1,22.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21_4,1198425.0612764559,15,CERRADO_col7_gapfill_v1,22.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21_5,140438.07658780302,19,CERRADO_col7_gapfill_v1,22.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21_6,83113.58140084955,21,CERRADO_col7_gapfill_v1,22.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21_7,14665.971913689802,25,CERRADO_col7_gapfill_v1,22.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21_8,4417.062956939695,33,CERRADO_col7_gapfill_v1,22.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_22_0,926871.0686377686,3,CERRADO_col7_gapfill_v1,23.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_22_1,973485.7985425056,4,CERRADO_col7_gapfill_v1,23.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_22_2,239139.23656531717,11,CERRADO_col7_gapfill_v1,23.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_22_3,1702.3241568847684,12,CERRADO_col7_gapfill_v1,23.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_22_4,3017502.416303431,15,CERRADO_col7_gapfill_v1,23.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_22_5,20931.2740738952,19,CERRADO_col7_gapfill_v1,23.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_22_6,123228.68330150642,21,CERRADO_col7_gapfill_v1,23.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_22_7,17523.815401471198,25,CERRADO_col7_gapfill_v1,23.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_22_8,93512.73802563608,33,CERRADO_col7_gapfill_v1,23.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_23_0,1895944.8811298274,3,CERRADO_col7_gapfill_v1,24.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
