system:index,area,class_id,file,territory,year,.geo
0_5_1,3360052.1551813185,4,CERRADO_col7_gapfill_incidence_temporal_v1,6.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_2,58413.51692222889,11,CERRADO_col7_gapfill_incidence_temporal_v1,6.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_3,314163.57434962003,12,CERRADO_col7_gapfill_incidence_temporal_v1,6.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_4,1177375.504483431,21,CERRADO_col7_gapfill_incidence_temporal_v1,6.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_5,56427.46760717114,25,CERRADO_col7_gapfill_incidence_temporal_v1,6.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_6,54285.01144387213,33,CERRADO_col7_gapfill_incidence_temporal_v1,6.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_0,740576.3569803127,3,CERRADO_col7_gapfill_incidence_temporal_v1,7.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_1,6240076.531228428,4,CERRADO_col7_gapfill_incidence_temporal_v1,7.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_2,53975.211988018345,11,CERRADO_col7_gapfill_incidence_temporal_v1,7.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_3,782767.0352411495,12,CERRADO_col7_gapfill_incidence_temporal_v1,7.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_4,234771.08479536467,21,CERRADO_col7_gapfill_incidence_temporal_v1,7.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_5,42541.13242324185,25,CERRADO_col7_gapfill_incidence_temporal_v1,7.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_6,2287.3294556396454,33,CERRADO_col7_gapfill_incidence_temporal_v1,7.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_0,958950.1962537223,3,CERRADO_col7_gapfill_incidence_temporal_v1,8.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_1,3533924.6168882838,4,CERRADO_col7_gapfill_incidence_temporal_v1,8.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_2,250019.47450793762,11,CERRADO_col7_gapfill_incidence_temporal_v1,8.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_3,2010675.8903433448,12,CERRADO_col7_gapfill_incidence_temporal_v1,8.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_4,271719.7526477005,21,CERRADO_col7_gapfill_incidence_temporal_v1,8.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_5,31013.207604504616,25,CERRADO_col7_gapfill_incidence_temporal_v1,8.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_6,7898.408437432865,33,CERRADO_col7_gapfill_incidence_temporal_v1,8.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_0,2950209.01376341,3,CERRADO_col7_gapfill_incidence_temporal_v1,9.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_1,3855778.5712697203,4,CERRADO_col7_gapfill_incidence_temporal_v1,9.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
