"","value","variable","region","year","file"
"Class: 44",0.647425498678202,"Class: 4",5,1985,"mapbiomas_collection60_integration_v1"
"Class: 124",0.549175550100324,"Class: 12",5,1985,"mapbiomas_collection60_integration_v1"
"Class: 214",0.730537035194215,"Class: 21",5,1985,"mapbiomas_collection60_integration_v1"
"Class: 333",1,"Class: 33",5,1985,"mapbiomas_collection60_integration_v1"
"Accuracy5",0.673252279635258,"Accuracy",6,1985,"mapbiomas_collection60_integration_v1"
"Kappa5",0.525185602856874,"Kappa",6,1985,"mapbiomas_collection60_integration_v1"
"AccuracyLower5",0.635938342334409,"AccuracyLower",6,1985,"mapbiomas_collection60_integration_v1"
"AccuracyUpper5",0.709003139953922,"AccuracyUpper",6,1985,"mapbiomas_collection60_integration_v1"
"AccuracyNull5",0.463525835866261,"AccuracyNull",6,1985,"mapbiomas_collection60_integration_v1"
"AccuracyPValue5",1.73592216508986e-27,"AccuracyPValue",6,1985,"mapbiomas_collection60_integration_v1"
"McnemarPValue5",NA,"McnemarPValue",6,1985,"mapbiomas_collection60_integration_v1"
"Class: 36",0.862057764515454,"Class: 3",6,1985,"mapbiomas_collection60_integration_v1"
"Class: 45",0.728207866994845,"Class: 4",6,1985,"mapbiomas_collection60_integration_v1"
"Class: 125",0.553986710963455,"Class: 12",6,1985,"mapbiomas_collection60_integration_v1"
"Class: 215",0.827327995255042,"Class: 21",6,1985,"mapbiomas_collection60_integration_v1"
"Class: 334",1,"Class: 33",6,1985,"mapbiomas_collection60_integration_v1"
"Accuracy6",0.747228381374723,"Accuracy",7,1985,"mapbiomas_collection60_integration_v1"
"Kappa6",0.308030847498688,"Kappa",7,1985,"mapbiomas_collection60_integration_v1"
"AccuracyLower6",0.717533010244248,"AccuracyLower",7,1985,"mapbiomas_collection60_integration_v1"
"AccuracyUpper6",0.775299070052732,"AccuracyUpper",7,1985,"mapbiomas_collection60_integration_v1"
"AccuracyNull6",0.738359201773836,"AccuracyNull",7,1985,"mapbiomas_collection60_integration_v1"
"AccuracyPValue6",0.286363074074284,"AccuracyPValue",7,1985,"mapbiomas_collection60_integration_v1"
"McnemarPValue6",NA,"McnemarPValue",7,1985,"mapbiomas_collection60_integration_v1"
"Class: 37",0.798170731707317,"Class: 3",7,1985,"mapbiomas_collection60_integration_v1"
"Class: 46",0.643030742607014,"Class: 4",7,1985,"mapbiomas_collection60_integration_v1"
"Class: 126",0.511571439411184,"Class: 12",7,1985,"mapbiomas_collection60_integration_v1"
"Class: 216",0.662805662805663,"Class: 21",7,1985,"mapbiomas_collection60_integration_v1"
"Class: 253",0.5,"Class: 25",7,1985,"mapbiomas_collection60_integration_v1"
"Accuracy7",0.66241134751773,"Accuracy",8,1985,"mapbiomas_collection60_integration_v1"
"Kappa7",0.459326211996713,"Kappa",8,1985,"mapbiomas_collection60_integration_v1"
"AccuracyLower7",0.626171083975124,"AccuracyLower",8,1985,"mapbiomas_collection60_integration_v1"
"AccuracyUpper7",0.697285350154797,"AccuracyUpper",8,1985,"mapbiomas_collection60_integration_v1"
"AccuracyNull7",0.540425531914894,"AccuracyNull",8,1985,"mapbiomas_collection60_integration_v1"
"AccuracyPValue7",3.14265127878836e-11,"AccuracyPValue",8,1985,"mapbiomas_collection60_integration_v1"
"McnemarPValue7",NA,"McnemarPValue",8,1985,"mapbiomas_collection60_integration_v1"
"Class: 38",0.865853658536585,"Class: 3",8,1985,"mapbiomas_collection60_integration_v1"
"Class: 47",0.702403519004569,"Class: 4",8,1985,"mapbiomas_collection60_integration_v1"
"Class: 127",0.709608537463276,"Class: 12",8,1985,"mapbiomas_collection60_integration_v1"
"Class: 217",0.726073418551295,"Class: 21",8,1985,"mapbiomas_collection60_integration_v1"
"Class: 335",1,"Class: 33",8,1985,"mapbiomas_collection60_integration_v1"
"Accuracy8",0.755424063116371,"Accuracy",9,1985,"mapbiomas_collection60_integration_v1"
"Kappa8",0.666826537074477,"Kappa",9,1985,"mapbiomas_collection60_integration_v1"
"AccuracyLower8",0.727755677894217,"AccuracyLower",9,1985,"mapbiomas_collection60_integration_v1"
"AccuracyUpper8",0.781600755394221,"AccuracyUpper",9,1985,"mapbiomas_collection60_integration_v1"
"AccuracyNull8",0.338264299802761,"AccuracyNull",9,1985,"mapbiomas_collection60_integration_v1"
"AccuracyPValue8",2.8975312602503e-162,"AccuracyPValue",9,1985,"mapbiomas_collection60_integration_v1"
"McnemarPValue8",NA,"McnemarPValue",9,1985,"mapbiomas_collection60_integration_v1"
"Class: 39",0.908807214146175,"Class: 3",9,1985,"mapbiomas_collection60_integration_v1"
"Class: 48",0.719957340722747,"Class: 4",9,1985,"mapbiomas_collection60_integration_v1"
"Class: 128",0.895360912088915,"Class: 12",9,1985,"mapbiomas_collection60_integration_v1"
"Class: 218",0.831747153187599,"Class: 21",9,1985,"mapbiomas_collection60_integration_v1"
"Class: 254",0.5,"Class: 25",9,1985,"mapbiomas_collection60_integration_v1"
"Class: 336",0.873993963782696,"Class: 33",9,1985,"mapbiomas_collection60_integration_v1"
"Accuracy9",0.691823899371069,"Accuracy",10,1985,"mapbiomas_collection60_integration_v1"
"Kappa9",0.565335590670713,"Kappa",10,1985,"mapbiomas_collection60_integration_v1"
"AccuracyLower9",0.66717497017954,"AccuracyLower",10,1985,"mapbiomas_collection60_integration_v1"
"AccuracyUpper9",0.715682751030551,"AccuracyUpper",10,1985,"mapbiomas_collection60_integration_v1"
"AccuracyNull9",0.371767994409504,"AccuracyNull",10,1985,"mapbiomas_collection60_integration_v1"
"AccuracyPValue9",7.50638919310669e-133,"AccuracyPValue",10,1985,"mapbiomas_collection60_integration_v1"
"McnemarPValue9",NA,"McnemarPValue",10,1985,"mapbiomas_collection60_integration_v1"
"Class: 310",0.873857341791738,"Class: 3",10,1985,"mapbiomas_collection60_integration_v1"
"Class: 49",0.712891098714528,"Class: 4",10,1985,"mapbiomas_collection60_integration_v1"
"Class: 129",0.723407079646018,"Class: 12",10,1985,"mapbiomas_collection60_integration_v1"
"Class: 219",0.827806510495893,"Class: 21",10,1985,"mapbiomas_collection60_integration_v1"
"Class: 255",0.5,"Class: 25",10,1985,"mapbiomas_collection60_integration_v1"
"Class: 337",0.888535031847134,"Class: 33",10,1985,"mapbiomas_collection60_integration_v1"
"Accuracy10",0.56,"Accuracy",11,1985,"mapbiomas_collection60_integration_v1"
"Kappa10",0.374847771372899,"Kappa",11,1985,"mapbiomas_collection60_integration_v1"
"AccuracyLower10",0.50624566765915,"AccuracyLower",11,1985,"mapbiomas_collection60_integration_v1"
"AccuracyUpper10",0.612730653969804,"AccuracyUpper",11,1985,"mapbiomas_collection60_integration_v1"
"AccuracyNull10",0.397142857142857,"AccuracyNull",11,1985,"mapbiomas_collection60_integration_v1"
"AccuracyPValue10",5.64544261592747e-10,"AccuracyPValue",11,1985,"mapbiomas_collection60_integration_v1"
"McnemarPValue10",NA,"McnemarPValue",11,1985,"mapbiomas_collection60_integration_v1"
"Class: 311",0.788152610441767,"Class: 3",11,1985,"mapbiomas_collection60_integration_v1"
"Class: 410",0.643390500869447,"Class: 4",11,1985,"mapbiomas_collection60_integration_v1"
"Class: 1210",0.688209129631724,"Class: 12",11,1985,"mapbiomas_collection60_integration_v1"
"Class: 2110",0.738782051282051,"Class: 21",11,1985,"mapbiomas_collection60_integration_v1"
"Class: 256",0.5,"Class: 25",11,1985,"mapbiomas_collection60_integration_v1"
"Class: 338",0.748563218390805,"Class: 33",11,1985,"mapbiomas_collection60_integration_v1"
"Accuracy11",0.645642201834862,"Accuracy",12,1985,"mapbiomas_collection60_integration_v1"
"Kappa11",0.448608362715867,"Kappa",12,1985,"mapbiomas_collection60_integration_v1"
"AccuracyLower11",0.612871190132619,"AccuracyLower",12,1985,"mapbiomas_collection60_integration_v1"
"AccuracyUpper11",0.67742509545482,"AccuracyUpper",12,1985,"mapbiomas_collection60_integration_v1"
"AccuracyNull11",0.584862385321101,"AccuracyNull",12,1985,"mapbiomas_collection60_integration_v1"
"AccuracyPValue11",0.000138310200581955,"AccuracyPValue",12,1985,"mapbiomas_collection60_integration_v1"
"McnemarPValue11",NA,"McnemarPValue",12,1985,"mapbiomas_collection60_integration_v1"
"Class: 312",0.796475563909774,"Class: 3",12,1985,"mapbiomas_collection60_integration_v1"
"Class: 411",0.709110605568194,"Class: 4",12,1985,"mapbiomas_collection60_integration_v1"
"Class: 1211",0.683535781412181,"Class: 12",12,1985,"mapbiomas_collection60_integration_v1"
"Class: 2111",0.783412147184868,"Class: 21",12,1985,"mapbiomas_collection60_integration_v1"
"Class: 257",0.5,"Class: 25",12,1985,"mapbiomas_collection60_integration_v1"
"Class: 339",0.833333333333333,"Class: 33",12,1985,"mapbiomas_collection60_integration_v1"
"Accuracy12",0.669242658423493,"Accuracy",13,1985,"mapbiomas_collection60_integration_v1"
"Kappa12",0.304381465311516,"Kappa",13,1985,"mapbiomas_collection60_integration_v1"
"AccuracyLower12",0.631506968126561,"AccuracyLower",13,1985,"mapbiomas_collection60_integration_v1"
"AccuracyUpper12",0.705425323903895,"AccuracyUpper",13,1985,"mapbiomas_collection60_integration_v1"
"AccuracyNull12",0.658423493044822,"AccuracyNull",13,1985,"mapbiomas_collection60_integration_v1"
"AccuracyPValue12",0.296088733063124,"AccuracyPValue",13,1985,"mapbiomas_collection60_integration_v1"
"McnemarPValue12",NA,"McnemarPValue",13,1985,"mapbiomas_collection60_integration_v1"
"Class: 313",0.744719178758267,"Class: 3",13,1985,"mapbiomas_collection60_integration_v1"
"Class: 412",0.62959127312897,"Class: 4",13,1985,"mapbiomas_collection60_integration_v1"
"Class: 1212",0.616732288846964,"Class: 12",13,1985,"mapbiomas_collection60_integration_v1"
"Class: 2112",0.689569139238077,"Class: 21",13,1985,"mapbiomas_collection60_integration_v1"
"Class: 258",0.5,"Class: 25",13,1985,"mapbiomas_collection60_integration_v1"
"Class: 3310",0.99922480620155,"Class: 33",13,1985,"mapbiomas_collection60_integration_v1"
