"","Prediction","Reference","Freq","region","year","file"
"68","4","33",0,2,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"69","12","33",0,2,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"70","21","33",0,2,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"71","25","33",0,2,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"72","33","33",1,2,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"73","3","3",79,3,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"74","4","3",89,3,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"75","12","3",0,3,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"76","21","3",1,3,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"77","25","3",0,3,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"78","33","3",1,3,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"79","3","4",36,3,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"80","4","4",332,3,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"81","12","4",14,3,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"82","21","4",43,3,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"83","25","4",0,3,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"84","33","4",1,3,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"85","3","12",2,3,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"86","4","12",2,3,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"87","12","12",9,3,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"88","21","12",8,3,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"89","25","12",0,3,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"90","33","12",5,3,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"91","3","21",0,3,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"92","4","21",6,3,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"93","12","21",7,3,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"94","21","21",19,3,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"95","25","21",0,3,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"96","33","21",0,3,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"97","3","25",2,3,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"98","4","25",0,3,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"99","12","25",0,3,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"100","21","25",1,3,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"101","25","25",0,3,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"102","33","25",0,3,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"103","3","33",0,3,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"104","4","33",0,3,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"105","12","33",0,3,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"106","21","33",0,3,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"107","25","33",0,3,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"108","33","33",3,3,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"109","3","3",147,4,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"110","4","3",35,4,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"111","12","3",0,4,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"112","21","3",3,4,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"113","25","3",0,4,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"114","3","4",26,4,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"115","4","4",91,4,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"116","12","4",6,4,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"117","21","4",4,4,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"118","25","4",0,4,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"119","3","12",0,4,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"120","4","12",20,4,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"121","12","12",3,4,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"122","21","12",3,4,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"123","25","12",0,4,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"124","3","21",19,4,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"125","4","21",13,4,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"126","12","21",0,4,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"127","21","21",16,4,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"128","25","21",0,4,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"129","3","25",1,4,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"130","4","25",0,4,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"131","12","25",0,4,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"132","21","25",0,4,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"133","25","25",0,4,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"134","3","3",48,5,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"135","4","3",23,5,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"136","12","3",0,5,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"137","21","3",0,5,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"138","25","3",0,5,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"139","33","3",0,5,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"140","3","4",68,5,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"141","4","4",508,5,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"142","12","4",16,5,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"143","21","4",24,5,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"144","25","4",0,5,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"145","33","4",0,5,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"146","3","12",1,5,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"147","4","12",44,5,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"148","12","12",8,5,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"149","21","12",15,5,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"150","25","12",0,5,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"151","33","12",1,5,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"152","3","21",6,5,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"153","4","21",20,5,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"154","12","21",2,5,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"155","21","21",19,5,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"156","25","21",0,5,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"157","33","21",0,5,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"158","3","25",0,5,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"159","4","25",1,5,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"160","12","25",0,5,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"161","21","25",2,5,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"162","25","25",0,5,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"163","33","25",0,5,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
