system:index,area,class_id,file,territory,.geo
0_0,1.058795684814453,0,to_2010_2021,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1,956.5070483398441,5,to_2010_2021,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2,112770.85527324793,9,to_2010_2021,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3,2008580.1465774812,15,to_2010_2021,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4,2236.9976291319986,20,to_2010_2021,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5,443343.9760425719,21,to_2010_2021,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6,805.1671928649885,23,to_2010_2021,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7,13206.784329736327,24,to_2010_2021,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8,42524.952069824205,25,to_2010_2021,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9,69.87805617065423,29,to_2010_2021,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10,129.41602844848637,30,to_2010_2021,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11,161.9899319274901,32,to_2010_2021,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12,28926.519315972662,33,to_2010_2021,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13,1383623.4078089378,39,to_2010_2021,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14,36823.06054599651,40,to_2010_2021,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15,166476.6467833489,41,to_2010_2021,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16,3046.495011450189,46,to_2010_2021,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17,15210.587010870546,48,to_2010_2021,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18,10933.034123773175,62,to_2010_2021,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,0.3572278747558594,5,to_2010_2021,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,50.253982293701185,15,to_2010_2021,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,22.736649066162116,21,to_2010_2021,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3,0.3572284362792969,23,to_2010_2021,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4,3.446709454345703,25,to_2010_2021,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5,4.961041467285156,33,to_2010_2021,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6,17.91399365234375,39,to_2010_2021,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7,3.0026367187500003,41,to_2010_2021,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8,0.17273079223632815,46,to_2010_2021,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9,1.818056085205078,48,to_2010_2021,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,0.08929910278320312,0,to_2010_2021,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,0.2679212158203125,5,to_2010_2021,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2,50.16088553466798,15,to_2010_2021,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3,17.58503981323242,21,to_2010_2021,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_4,0.3572039123535156,23,to_2010_2021,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_5,3.279069946289063,25,to_2010_2021,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_6,5.580448815917969,33,to_2010_2021,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_7,18.515469641113285,39,to_2010_2021,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_8,3.352356457519531,41,to_2010_2021,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_9,2.8565972717285155,48,to_2010_2021,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,11.645273663330078,0,to_2010_2021,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_1,26.25602696533204,5,to_2010_2021,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_2,318028.7557584162,9,to_2010_2021,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_3,2828502.1397051974,15,to_2010_2021,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_4,24199.243384289202,20,to_2010_2021,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_5,1004709.5136301321,21,to_2010_2021,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_6,5.894089392089844,23,to_2010_2021,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_7,21808.271054058805,24,to_2010_2021,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_8,39117.986490960706,25,to_2010_2021,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9,576.5011987731931,29,to_2010_2021,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_10,6617.789932867397,30,to_2010_2021,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_11,0.089311181640625,32,to_2010_2021,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_12,32074.58521297614,33,to_2010_2021,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_13,332694.50094166177,39,to_2010_2021,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_14,95139.71836543568,41,to_2010_2021,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_15,10150.84664846801,46,to_2010_2021,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_16,13342.827221392821,47,to_2010_2021,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_17,3050.19473274536,48,to_2010_2021,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_18,59.916578100585895,62,to_2010_2021,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
