system:index,area,class,.geo
0,1184808.0714164134,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,145702.37024480558,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1923809.5560970816,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,3916132.6374657,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,5036993.325150335,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
