system:index,area,class,.geo
0,4225193.341923777,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,849277.420695633,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,5430746.590536157,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,4504891.081514571,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.716162470978603E7,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
