system:index,area,class_id,territory,year,.geo
0_5_9,96.20839366210954,2224,6,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_10,25.221317808288553,2234,6,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_11,316.9316841073044,13123,6,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_12,916.7775140573827,13124,6,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_13,1587.2023155445481,13134,6,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_14,6.240283567932125,23234,6,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_15,1429.072981453867,141234,6,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_0,14.77369491577152,211,7,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_1,0.23053848736572263,212,7,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_2,8.528829346435552,213,7,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_3,7.219593334838857,214,7,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_4,0.006163244567871094,1212,7,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_5,3.4155649900512683,1213,7,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_6,5.350700262207004,1214,7,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_7,0.01318859454345703,2223,7,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_8,0.06607985363769533,2224,7,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_9,1.4245810945434574,2234,7,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_10,0.8748263969726561,13123,7,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_11,0.3213499052734375,13124,7,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_12,433.4589065158798,13134,7,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_13,0.029043082824707033,23234,7,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_14,97.82123238238565,141234,7,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_0,243.18043591851801,211,8,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_1,535.2478791079093,212,8,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_2,314.96415786230375,213,8,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_3,260.5518495753172,214,8,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_4,0.01581541094970703,219,8,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_5,67.45480622576913,1212,8,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_6,136.57969886828607,1213,8,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_7,91.46954245452896,1214,8,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_8,34.60586503576661,2223,8,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_9,170.94077415710473,2224,8,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_10,44.082724848510736,2234,8,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_11,86.21225760864283,13123,8,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_12,237.62996230432216,13124,8,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_13,491.2405080792228,13134,8,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_14,48.299884462341296,23234,8,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_15,4089.0212064412312,141234,8,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_0,28.49645458758546,211,9,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_1,160.65127535418685,212,9,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_2,165.20989941192607,213,9,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_3,39.369965247497575,214,9,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_4,0.0017446798706054686,219,9,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_5,4.3828253237915025,1212,9,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_6,26.527207258911137,1213,9,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_7,11.297161817077631,1214,9,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_8,20.26373449206543,2223,9,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_9,27.31257755480957,2224,9,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_10,11.41262674169922,2234,9,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_11,9.54242325073242,13123,9,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_12,26.922648229858375,13124,9,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_13,70.07583017840578,13134,9,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_14,17.53809149237062,23234,9,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_15,507.0468789535506,141234,9,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
